"","city","county","PACE.start"
"1","Downey","Los Angeles",NA
"2","Rancho Palos Verdes","Los Angeles",NA
"3","Alpine","San Diego",NA
"4","alpine","San Diego",NA
"5","ALPINE","San Diego",NA
"6","Chula Vista","San Diego",NA
"7","San Diego","San Diego",NA
"8","Bonita","San Diego",NA
"9","BONITA","San Diego",NA
"10","bonita","San Diego",NA
"11","Boulevard","San Diego",NA
"12","Live Oak Springs","San Diego",NA
"13","Jacumba","San Diego",NA
"14","Campo","San Diego",NA
"15","CAMPO","San Diego",NA
"16","CHULA VISTA","San Diego",NA
"17","Chula vista","San Diego",NA
"18","Descanso","San Diego",NA
"19","DESCANSO","San Diego",NA
"20","Dulzura","San Diego",NA
"21","Guatay","San Diego",NA
"22","Imperial Beach","San Diego",NA
"23","IMPERIAL BEACH","San Diego",NA
"24","Jamul","San Diego",NA
"25","JAMUL","San Diego",NA
"26","La Mesa","San Diego",NA
"27","la mesa","San Diego",NA
"28","LA MESA","San Diego",NA
"29","la Mesa","San Diego",NA
"30","Lemon Grove","San Diego",NA
"31","LEMON GROVE","San Diego",NA
"32","Mount Laguna","San Diego",NA
"33","National City","San Diego",NA
"34","National city","San Diego",NA
"35","Pine Valley","San Diego",NA
"36","Potrero","San Diego",NA
"37","SPRING VALLEY","San Diego",NA
"38","Spring Valley","San Diego",NA
"39","Spring VALLEY","San Diego",NA
"40","Bonsall","San Diego",NA
"41","BONSALL","San Diego",NA
"42","Borrego springs","San Diego",NA
"43","Borrego Springs","San Diego",NA
"44","borego springs","San Diego",NA
"45","Cardiff by the Sea","San Diego",NA
"46","Cardiff","San Diego",NA
"47","Cardiff By The Sea","San Diego",NA
"48","CARDIFF","San Diego",NA
"49","Carlsbad","San Diego",NA
"50","CARLSBAD","San Diego",NA
"51","carlsbad","San Diego",NA
"52","Rancho La Costa","San Diego",NA
"53","Carslabd","San Diego",NA
"54","Carslbad","San Diego",NA
"55","Del Mar","San Diego",NA
"56","Solana Beach","San Diego",NA
"57","DEL MAR","San Diego",NA
"58","el cajon","San Diego",NA
"59","El Cajon","San Diego",NA
"60","EL CAJON","San Diego",NA
"61","El cajon","San Diego",NA
"62","Crest","San Diego",NA
"63","El CAJON","San Diego",NA
"64","Lakeside","San Diego",NA
"65","El Cajon, California","San Diego",NA
"66","Encinitas","San Diego",NA
