"city","yq","cecptrating","totalcost","incentiverate","TOTALOOH","PWRPRICE","WPOOH"
"Agoura Hills",2007 Q3,23222,247442.07421875,2.5,23745,0.77199999988079,0.977974310381133
"Agoura Hills",2007 Q4,26722,237731.48828125,2.43500000238418,23745,0.77199999988079,1.12537376289745
"Agoura Hills",2008 Q1,14506,147141.80078125,2.5,23745,0.77199999988079,0.610907559486208
"Agoura Hills",2008 Q2,13815,140707.548828125,2.20000004768372,23745,0.77199999988079,0.581806696146557
"Agoura Hills",2008 Q3,21012,216861.490234375,2.20000004768372,23745,0.77199999988079,0.8849020846494
"Agoura Hills",2008 Q4,11063,112515,2.20000004768372,23745,0.77199999988079,0.46590861233944
"Agoura Hills",2009 Q1,13064,147749.890625,2.20000004768372,23745,0.77199999988079,0.550178985049484
"Agoura Hills",2009 Q2,49433,511991.0234375,2.07000001839229,23745,0.77199999988079,2.0818277532112
"Agoura Hills",2009 Q3,71573,631919.818359375,1.89999997615814,23745,0.77199999988079,3.01423457570015
"Agoura Hills",2009 Q4,92175,694031.75390625,1.89999997615814,23745,0.77199999988079,3.88186986734049
"Agoura Hills",2010 Q1,10216,68889.240234375,1.89999997615814,23745,0.77199999988079,0.430237944830491
"Agoura Hills",2010 Q2,31226,229348.900390625,1.71749997138977,23745,0.77199999988079,1.31505580122131
"Agoura Hills",2010 Q3,26749,254413.8515625,1.53399996757507,23745,0.77199999988079,1.12651084438829
"Agoura Hills",2010 Q4,58030,516220.6875,1.54916661977768,23745,0.77199999988079,2.44388292272057
"Agoura Hills",2011 Q1,37103,342563.80078125,1.17400002479553,23745,0.77199999988079,1.56256053906086
"Agoura Hills",2011 Q2,31755,261695.599609375,1.10000002384186,23745,0.77199999988079,1.33733417561592
"Agoura Hills",2011 Q3,39754,276943.650390625,1.01000001430512,23745,0.77199999988079,1.67420509580964
"Agoura Hills",2011 Q4,48484,334958,0.649999976158142,23745,0.77199999988079,2.04186144451463
"Antioch",2007 Q3,12279.9997558594,116140,2.72666668891907,86749,0.785000011324882,0.141557824941606
"Antioch",2007 Q4,6395,92024.109375,2.1800000667572,86749,0.785000011324882,0.0737184290308822
"Antioch",2008 Q1,13829,128702.640625,2.20000004768372,86749,0.785000011324882,0.159413941371082
"Antioch",2008 Q2,14184,136543.0390625,1.89999997615814,86749,0.785000011324882,0.163506207564352
"Antioch",2008 Q3,16292,152406,1.88249999284744,86749,0.785000011324882,0.187806199495095
"Antioch",2008 Q4,16128,179149.703125,1.98999997973442,86749,0.785000011324882,0.185915687788908
"Antioch",2009 Q1,10349,131304,1.54999995231628,86749,0.785000011324882,0.11929820516663
"Antioch",2009 Q2,9396,123678,1.54999995231628,86749,0.785000011324882,0.10831248775202
"Antioch",2009 Q3,24002,220540,1.1600000177111,86749,0.785000011324882,0.276683304706683
"Antioch",2009 Q4,14548,132800.791015625,1.10000002384186,86749,0.785000011324882,0.167702221351255
"Antioch",2010 Q1,22081,188315.530273438,1.09500002861023,86749,0.785000011324882,0.254538957221409
"Antioch",2010 Q2,19633,155252.26953125,0.647499978542328,86749,0.785000011324882,0.22631961175345
"Antioch",2010 Q3,18416,179175.640625,0.649999976158142,86749,0.785000011324882,0.212290631592295
"Antioch",2010 Q4,44950,386414.419921875,0.399999991059304,86749,0.785000011324882,0.518161592640837
"Antioch",2011 Q1,3922,32640,0.349999994039536,86749,0.785000011324882,0.0452108958028335
"Antioch",2011 Q2,43671,419714.19921875,0.349090903997422,86749,0.785000011324882,0.503417906834661
"Antioch",2011 Q3,59682,518644.44921875,0.349999994039536,86749,0.785000011324882,0.68798487590635
"Antioch",2011 Q4,23893,168524,0.25,86749,0.785000011324882,0.275426806072692
"Apple Valley",2007 Q3,29891,281750.71875,2.5,63383,0.77199999988079,0.471593329441648
"Apple Valley",2007 Q4,20368,197915,2.5,63383,0.77199999988079,0.321347995519303
"Apple Valley",2008 Q1,33645,304170.25390625,2.5,63383,0.77199999988079,0.530820567029014
"Apple Valley",2008 Q2,22039,218172.392578125,2.31200003623963,63383,0.77199999988079,0.347711531483205
"Apple Valley",2008 Q3,116978,976473.19140625,2.29187504947186,63383,0.77199999988079,1.84557373428206
"Apple Valley",2008 Q4,5016,58050,2.20000004768372,63383,0.77199999988079,0.0791379391950523
"Apple Valley",2009 Q1,25381.9995117188,222374,2.20000004768372,63383,0.77199999988079,0.400454372808462
"Apple Valley",2009 Q2,33495,327531.38671875,2.15444446934594,63383,0.77199999988079,0.528454001861698
"Apple Valley",2009 Q3,34843,300988.97265625,1.89999997615814,63383,0.77199999988079,0.549721534165312
"Apple Valley",2009 Q4,31523,216838.912109375,1.89999997615814,63383,0.77199999988079,0.497341558462048
"Apple Valley",2010 Q1,4849,36003,1.89999997615814,63383,0.77199999988079,0.0765031633087736
"Apple Valley",2010 Q2,49389,475204.40234375,1.62111107508341,63383,0.77199999988079,0.779215246990518
"Apple Valley",2010 Q3,45140,343491.1015625,1.54999995231628,63383,0.77199999988079,0.712178344351009
"Apple Valley",2010 Q4,42051,332145.431640625,1.54624995589256,63383,0.77199999988079,0.663442879005412
"Apple Valley",2011 Q1,44617,378955.751953125,1.42124998569488,63383,0.77199999988079,0.703926920467633
"Apple Valley",2011 Q2,90256,743183.4140625,1.09812502563,63383,0.77199999988079,1.42397803827525
"Apple Valley",2011 Q3,242672.000732422,1783609.31152344,1.03840910846537,63383,0.77199999988079,3.8286606934418
"Apple Valley",2011 Q4,176085.999755859,1345622.24804688,0.649999976158142,63383,0.77199999988079,2.77812662316172
"Arcadia",2007 Q3,4167,42000,2.5,49197,0.77199999988079,0.0847002866028416
"Arcadia",2007 Q4,24173,253213.21875,2.4200000166893,49197,0.77199999988079,0.491351098644226
"Arcadia",2008 Q1,12692,113834.267578125,2.46333336830139,49197,0.77199999988079,0.257983210358355
"Arcadia",2008 Q2,26839,275233.828125,2.27500003576279,49197,0.77199999988079,0.545541394800496
"Arcadia",2008 Q3,27315.9998779297,264653.66015625,2.20000004768372,49197,0.77199999988079,0.555237105472482
"Arcadia",2008 Q4,6969,75111.3515625,2.20000004768372,49197,0.77199999988079,0.141654978962132
"Arcadia",2009 Q1,38697.0002441406,386661.59765625,2.20000004768372,49197,0.77199999988079,0.786572356935192
"Arcadia",2009 Q2,22108,196662.520507812,2.06666668256124,49197,0.77199999988079,0.449376994532187
"Arcadia",2009 Q3,26781,254617.623046875,1.89999997615814,49197,0.77199999988079,0.544362461125678
"Arcadia",2009 Q4,27308,215651.25,1.89999997615814,49197,0.77199999988079,0.555074496412383
"Arcadia",2010 Q1,31675,272833,1.84999997275216,49197,0.77199999988079,0.643840071549078
"Arcadia",2010 Q2,44070,439988.44921875,1.76727269996296,49197,0.77199999988079,0.895786328434661
"Arcadia",2010 Q3,64691,468860.73828125,1.54571424211774,49197,0.77199999988079,1.31493790271765
"Arcadia",2010 Q4,41134,356172.8984375,1.54999995231628,49197,0.77199999988079,0.836107892757688
"Arcadia",2011 Q1,28006,191768.25,1.3542856999806,49197,0.77199999988079,0.569262353395532
"Arcadia",2011 Q2,31269,289631.703125,1.09500002861023,49197,0.77199999988079,0.635587535825355
"Arcadia",2011 Q3,74866,565877.892578125,0.875000000000001,49197,0.77199999988079,1.52175945687745
"Arcadia",2011 Q4,76461,599936.69921875,0.649999976158142,49197,0.77199999988079,1.55418013293493
"Atascadero",2007 Q3,19271,178186,2.37800002098084,27336,0.785000011324882,0.70496780801873
"Atascadero",2007 Q4,21212,200885.23046875,2.1400000333786,27336,0.785000011324882,0.775973075797483
"Atascadero",2008 Q1,4904,53550,1.88999998569489,27336,0.785000011324882,0.179397131987123
"Atascadero",2008 Q2,19450,167979.9609375,1.88799998760223,27336,0.785000011324882,0.711515949663447
"Atascadero",2008 Q3,26065,262305,1.89999997615814,27336,0.785000011324882,0.953504536142815
"Atascadero",2008 Q4,3945,35260,1.54999995231628,27336,0.785000011324882,0.144315188762072
"Atascadero",2009 Q1,5952,59068,1.54999995231628,27336,0.785000011324882,0.217734855136084
"Atascadero",2009 Q2,33804,281989.05859375,1.54999995231628,27336,0.785000011324882,1.23661106233538
"Atascadero",2009 Q3,49974,392402.720703125,1.44777774810791,27336,0.785000011324882,1.82813871817384
"Atascadero",2009 Q4,16900,126823.290039062,1.10000002384186,27336,0.785000011324882,0.618232367573895
"Atascadero",2010 Q1,31990,243062.63671875,1.10000002384186,27336,0.785000011324882,1.17025168276266
"Atascadero",2010 Q2,39173,317582.01171875,0.75199999511242,27336,0.785000011324882,1.43301872988001
"Atascadero",2010 Q3,31285,214425.669921875,0.649999976158142,27336,0.785000011324882,1.14446151594966
"Atascadero",2010 Q4,38495.0009765625,263030.3984375,0.409999990463257,27336,0.785000011324882,1.40821630730767
"Atascadero",2011 Q1,18291,151559.203125,0.349999994039536,27336,0.785000011324882,0.669117647058823
"Atascadero",2011 Q2,34402,252695.189453125,0.349999994039536,27336,0.785000011324882,1.2584869768803
"Atascadero",2011 Q3,21352,167347.15234375,0.345999997854233,27336,0.785000011324882,0.781094527363184
"Atascadero",2011 Q4,16624,125944.671875,0.274999998509884,27336,0.785000011324882,0.608135791630085
"Bakersfield",2007 Q3,152873,1576714.88671875,2.39000001549721,244008,0.785000011324882,0.62650814727386
"Bakersfield",2007 Q4,117193,1112870.00976562,2.17480004310608,244008,0.785000011324882,0.480283433330055
"Bakersfield",2008 Q1,132683,1297586.14453125,2.13640003681183,244008,0.785000011324882,0.54376495852595
"Bakersfield",2008 Q2,164774,1580217.18164062,1.89939391613006,244008,0.785000011324882,0.675281138323334
"Bakersfield",2008 Q3,196383,1895439.28515625,1.88299998044967,244008,0.785000011324882,0.804821973050064
"Bakersfield",2008 Q4,272959,2688977.91015625,1.75179996728897,244008,0.785000011324882,1.11864774925412
"Bakersfield",2009 Q1,159583,1511863.4921875,1.54999995231628,244008,0.785000011324882,0.654007245664077
"Bakersfield",2009 Q2,176500.999511719,1553417.5234375,1.5526666243871,244008,0.785000011324882,0.723341035997667
